Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
543390,POLICYBZR,A,378.00,401.90,373.90,399.30,17776052,67080.19,40548
500180,HDFCBANK,A,1538.00,1636.35,1537.55,1610.95,1897296,30322.72,91304
543384,NYKAA,A,191.10,224.65,188.20,208.00,13974170,26769.54,40850
543320,ZOMATO,A,65.60,73.50,65.55,72.80,31976265,22572.79,85019
500209,INFY,A,1535.25,1573.00,1535.25,1570.05,872891,13645.31,43487
500010,HDFC,A,2525.00,2689.15,2522.30,2651.25,454782,11950.37,30245
500325,RELIANCE,A,2598.70,2635.00,2587.25,2631.35,402694,10526.07,27518
532540,TCS,A,3262.00,3341.25,3253.60,3316.10,308454,10228.94,29253
500570,TATAMOTORS,A,418.05,425.40,414.70,423.55,1549709,6521.38,28701
532921,ADANIPORTS,A,906.80,907.40,890.45,894.40,711133,6389.19,17254
543650,DCXINDIA,B,286.25,319.75,286.25,308.80,2119133,6359.73,36959
500850,INDHOTEL,A,346.15,348.00,309.30,315.25,1492128,4787.66,31497
500520,M&M,A,1305.00,1317.85,1278.65,1287.15,348920,4513.45,9173
500034,BAJFINANCE,A,7100.00,7155.00,6996.00,7051.05,60879,4314.80,9585
532174,ICICIBANK,A,922.20,928.00,903.65,906.85,454693,4142.08,9367
532755,TECHM,A,1045.20,1065.50,1045.00,1058.60,364384,3848.01,11371
500470,TATASTEEL,A,106.20,108.20,106.15,107.50,3403076,3652.29,13124
532215,AXISBANK,A,847.20,854.80,844.20,850.95,419312,3564.71,7766
500112,SBIN,A,616.00,618.30,598.75,601.10,579483,3505.98,9531
500440,HINDALCO,A,419.20,431.65,419.20,429.75,784644,3353.92,14449
532777,NAUKRI,A,3901.05,4123.00,3901.05,4098.25,78329,3183.32,11609
512599,ADANIENT,A,4049.00,4049.00,3975.05,4008.70,78668,3156.97,6442
532822,IDEA,A,8.71,8.75,8.43,8.49,36817465,3136.66,33786
532281,HCLTECH,A,1070.20,1098.55,1069.55,1090.25,287226,3131.62,17271
532134,BANKBARODA,A,168.00,168.65,161.40,161.75,1900277,3121.94,14352
532819,MINDTREE,A,3537.50,3676.80,3537.50,3663.40,85071,3098.90,10636
532648,YESBANK,A,16.70,16.95,16.40,16.85,18544578,3096.04,12818
532898,POWERGRID,A,216.75,217.75,213.60,214.05,1428565,3065.92,8445
532555,NTPC,A,172.50,173.55,169.65,171.45,1759029,3010.94,6815
532477,UNIONBANK,A,67.45,69.20,65.75,66.80,4232804,2855.97,12387
505200,EICHERMOT,A,3740.00,3740.75,3503.70,3515.65,75673,2708.78,11168
500670,GNFC,A,644.10,655.50,601.10,602.40,429473,2651.20,16608
532286,JINDALSTEL,A,472.35,502.25,472.35,499.20,517170,2549.36,10754
500477,ASHOKLEY,A,151.05,153.60,145.20,147.70,1673741,2481.01,12630
541154,HAL,A,2450.05,2533.80,2436.05,2479.00,95963,2384.95,8575
539437,IDFCFIRSTB,A,58.50,58.50,57.45,57.65,3948704,2284.67,8448
508869,APOLLOHOSP,A,4374.95,4539.65,4340.75,4417.70,49860,2211.60,6878
533278,COALINDIA,A,258.50,259.00,252.60,253.25,866306,2205.57,13837
517334,MOTHERSON,A,74.00,74.65,69.40,71.05,3044511,2170.94,16851
542649,RVNL,A,52.15,52.25,49.35,51.10,4087879,2074.50,13916
532155,GAIL,A,88.40,89.25,88.05,88.85,2312234,2051.54,8116
507685,WIPRO,A,395.85,405.80,395.85,399.75,500524,2006.56,8291
540005,LTI,A,4950.15,5074.00,4933.25,5057.55,38374,1932.55,6860
540678,COCHINSHIP,A,582.60,654.25,567.20,639.55,311827,1918.75,11356
524804,AUROPHARMA,A,481.50,496.95,481.00,489.10,392882,1917.17,12820
539844,EQUITAS,A,103.80,104.50,101.15,102.40,1861857,1908.23,2999
500257,LUPIN,A,725.00,748.95,724.95,746.35,253807,1883.66,7279
541153,BANDHANBNK,A,225.15,227.20,220.05,226.30,821428,1839.19,11931
