Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500325,RELIANCE,A,2625.00,2642.65,2605.55,2617.95,4751003,125009.76,8727
500209,INFY,A,1572.00,1591.00,1569.00,1584.00,5033633,79054.21,7286
500010,HDFC,A,2655.00,2687.50,2637.30,2661.50,2704956,71719.96,4608
543320,ZOMATO,A,74.00,75.55,69.15,69.60,11547722,8257.93,42151
500570,TATAMOTORS,A,423.35,437.60,423.35,433.60,1706880,7404.48,31736
500103,BHEL,A,70.00,73.15,69.05,71.55,8618436,6076.87,15159
532921,ADANIPORTS,A,892.25,907.80,884.95,895.45,658607,5934.23,5770
543526,LICI,A,666.10,682.70,654.60,664.80,842604,5622.48,29696
533096,ADANIPOWER,T,349.10,365.00,342.10,359.30,1476937,5277.04,6162
532540,TCS,A,3321.00,3349.00,3307.30,3334.05,145040,4831.88,12466
532822,IDEA,A,8.51,8.63,8.26,8.50,55240303,4615.19,45237
500696,HINDUNILVR,A,2500.00,2513.00,2455.00,2457.65,177594,4381.62,14406
542830,IRCTC,A,751.10,764.75,750.05,758.90,558073,4205.95,11158
532648,YESBANK,A,16.85,17.40,16.75,17.10,20713496,3549.25,18197
524715,SUNPHARMA,A,1013.50,1020.90,1002.55,1016.35,344949,3496.50,5539
521064,TRIDENT,A,30.70,35.70,30.70,35.45,9454825,3240.72,32871
500440,HINDALCO,A,432.80,458.50,432.80,455.55,713852,3221.71,12969
500180,HDFCBANK,A,1610.25,1628.00,1598.80,1614.40,188557,3041.95,7792
532174,ICICIBANK,A,903.20,905.95,891.55,894.90,328401,2940.43,14459
543384,NYKAA,A,210.70,216.40,202.30,211.55,1368101,2887.18,19727
500470,TATASTEEL,A,108.15,110.00,108.15,108.65,2600489,2837.00,13743
543650,DCXINDIA,B,307.00,308.00,280.65,300.25,917864,2738.87,20421
508869,APOLLOHOSP,A,4417.75,4570.00,4417.75,4559.80,58384,2647.74,6022
543390,POLICYBZR,A,402.00,403.90,383.75,389.20,668036,2631.89,11752
532134,BANKBARODA,A,161.65,165.05,159.90,163.95,1497221,2442.92,10594
532368,BCG,A,41.05,41.40,38.70,38.95,6065173,2401.77,16880
512599,ADANIENT,A,3997.05,4077.70,3995.00,4021.05,57502,2318.07,4046
533278,COALINDIA,A,254.50,256.25,246.35,247.20,923653,2315.13,13343
500034,BAJFINANCE,A,7054.00,7105.00,7002.00,7023.30,32388,2276.21,3500
500875,ITC,A,355.80,356.40,346.65,347.25,646306,2265.89,17735
500295,VEDL,A,314.00,320.90,313.20,314.70,711853,2252.92,9189
532777,NAUKRI,A,4130.00,4400.00,4123.40,4362.80,50677,2186.24,6570
532555,NTPC,A,171.45,173.30,171.10,171.25,1206783,2072.24,5657
500112,SBIN,A,604.00,604.00,591.60,592.55,344882,2058.25,8451
543237,MAZDOCK,A,797.60,819.65,785.20,800.05,250428,2018.85,8256
532830,ASTRAL,A,2000.00,2028.65,1881.55,1982.45,101247,1985.32,15067
542649,RVNL,A,51.25,56.05,49.85,54.70,3658685,1928.29,10532
507685,WIPRO,A,402.00,402.30,395.60,396.55,472218,1882.61,15938
500425,AMBUJACEM,A,558.00,586.45,557.55,580.00,326361,1878.40,6329
540678,COCHINSHIP,A,647.90,676.90,637.20,669.55,284979,1877.94,11036
532454,BHARTIARTL,A,817.00,830.45,817.00,821.65,228386,1872.17,7146
532234,NATIONALUM,A,74.75,78.10,74.75,77.95,2426777,1870.01,9185
500400,TATAPOWER,A,229.40,230.40,226.80,227.70,797913,1819.52,15512
542867,CSBBANK,A,227.75,227.75,216.00,217.75,799756,1739.69,860
543272,EASEMYTRIP,A,405.00,420.00,398.80,402.70,419122,1712.94,8930
542726,INDIAMART,A,4790.00,4790.00,4601.00,4633.65,36079,1706.13,2083
532819,MINDTREE,A,3670.10,3790.00,3670.10,3766.35,45269,1696.25,4081
